data-itemid,data-product-name,data-variant,data-category,data-brand,data-price,data-dimension9,data-dimension,data-metric2,item-link,item-image-link
1A224U0101C17392618,Hanoi,Etruria,shoes-flats,Casadei,480,SS2022,FP,163,https://www.casadei.com/en/shoes/flats/hanoi-etruria-1A224U0101C17392618.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw718a4d3c/images/zoom/1A224U0101C1739_2618_3.jpg?sw=804&sh=1200&sm=fit
1A224U0101C17393301,Hanoi,Spiaggia Rosa,shoes-flats,Casadei,480,SS2022,FP,163,https://www.casadei.com/en/shoes/flats/hanoi-spiaggia-rosa-1A224U0101C17393301.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw81d29828/images/zoom/1A224U0101C1739_3301_3.jpg?sw=804&sh=1200&sm=fit
1A225U0101C16932207,Oxford Lacroc,Orangina,shoes-flats,Casadei,480,SS2022,FP,163,https://www.casadei.com/en/shoes/flats/oxford-lacroc-orangina-1A225U0101C16932207.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwa4c36be8/images/zoom/1A225U0101C1693_2207_3.jpg?sw=804&sh=1200&sm=fit
1A225U0101C16934207,Oxford Lacroc,Optimistic Pink,shoes-flats,Casadei,480,SS2022,FP,163,https://www.casadei.com/en/shoes/flats/oxford-lacroc-optimistic-pink-1A225U0101C16934207.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwf5344eeb/images/zoom/1A225U0101C1693_4207_3.jpg?sw=804&sh=1200&sm=fit
1A225U0101C16936200,Oxford Lacroc,Nilegreen,shoes-flats,Casadei,480,SS2022,FP,163,https://www.casadei.com/en/shoes/flats/oxford-lacroc-nilegreen-1A225U0101C16936200.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw3a5f3fdd/images/zoom/1A225U0101C1693_6200_3.jpg?sw=804&sh=1200&sm=fit
1A234U010MC1691A938,Valentina,Natur,shoes-flats,Casadei,615,SS2022,FP,208,https://www.casadei.com/en/shoes/flats/valentina-natur-1A234U010MC1691A938.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw3de55d07/images/zoom/1A234U010MC1691_A938_3.jpg?sw=804&sh=1200&sm=fit
1A235U010MC16904207,Valentina,Optimistic Pink,shoes-flats,Casadei,625,SS2022,FP,212,https://www.casadei.com/en/shoes/flats/valentina-optimistic-pink-1A235U010MC16904207.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw8dc00074/images/zoom/1A235U010MC1690_4207_3.jpg?sw=804&sh=1200&sm=fit
1A235U010MC16905311,Valentina,Skylight,shoes-flats,Casadei,625,SS2022,FP,212,https://www.casadei.com/en/shoes/flats/valentina-skylight-1A235U010MC16905311.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwf296dcdb/images/zoom/1A235U010MC1690_5311_3.jpg?sw=804&sh=1200&sm=fit
1A235U010MC16909700,Valentina,Silver,shoes-flats,Casadei,625,SS2022,FP,212,https://www.casadei.com/en/shoes/flats/valentina-silver-1A235U010MC16909700.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwf939d033/images/zoom/1A235U010MC1690_9700_3.jpg?sw=804&sh=1200&sm=fit
1D218S0401C13102804,Webster,Natur,shoes-flats,Casadei,560,SS2022,FP,190,https://www.casadei.com/en/shoes/flats/webster-natur-1D218S0401C13102804.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw8fc5fb2e/images/zoom/1D218S0401C1310_2804_3.jpg?sw=804&sh=1200&sm=fit
1D218S0401C13109999,Webster,White,shoes-flats,Casadei,560,SS2022,FP,190,https://www.casadei.com/en/shoes/flats/webster-white-1D218S0401C13109999.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw93a8051f/images/zoom/1D218S0401C1310_9999_3.jpg?sw=804&sh=1200&sm=fit
1F090D125HT02099000,Blade,Black,shoes-pumps,Casadei,650,FW2019,FP,221,https://www.casadei.com/en/shoes/pumps/blade-black-1F090D125HT02099000.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw34cd6a84/images/zoom/1F090D125HT0209_9000_3.jpg?sw=804&sh=1200&sm=fit
1F090D125TT0354B003,Blade Floral,Lack Pink and Optimisitc pink,shoes-pumps,Casadei,675,SS2022,FP,229,https://www.casadei.com/en/shoes/pumps/blade-floral-lack-pink-and-optimisitc-pink-1F090D125TT0354B003.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw19cf5148/images/zoom/1F090D125TT0354_B003_3.jpg?sw=804&sh=1200&sm=fit
1F121D1001CITYL1100,City Light Perfect Pump,Platinum,shoes-pumps,Casadei,560,SS2020,FP,177,https://www.casadei.com/en/shoes/pumps/city-light-perfect-pump-platinum-1F121D1001CITYL1100.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwf5abaa54/images/zoom/1F121D1001CITYL_1100_3.jpg?sw=804&sh=1200&sm=fit
1F121D1001MINOR2615,Julia,Rum,shoes-pumps,Casadei,560,SS2022,FP,190,https://www.casadei.com/en/shoes/pumps/julia-rum-1F121D1001MINOR2615.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw7640955e/images/zoom/1F121D1001MINOR_2615_3.jpg?sw=804&sh=1200&sm=fit
1F121D1001MINOR2801,Julia,Dafne,shoes-pumps,Casadei,560,SS2022,FP,190,https://www.casadei.com/en/shoes/pumps/julia-dafne-1F121D1001MINOR2801.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwe4340e2b/images/zoom/1F121D1001MINOR_2801_3.jpg?sw=804&sh=1200&sm=fit
1F121D1001MINOR3114,Julia,Chic,shoes-pumps,Casadei,560,FW2020,FP,185,https://www.casadei.com/en/shoes/pumps/julia-chic-1F121D1001MINOR3114.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwe20127cb/images/zoom/1F121D1001MINOR_3114_3.jpg?sw=804&sh=1200&sm=fit
1F121D1001MINOR3302,Julia,Cipria,shoes-pumps,Casadei,560,SS2021,FP,185,https://www.casadei.com/en/shoes/pumps/julia-cipria-1F121D1001MINOR3302.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw6cedd0ce/images/zoom/1F121D1001MINOR_3302_3.jpg?sw=804&sh=1200&sm=fit
1F121D1001MINOR3608,Julia,Cyber Red,shoes-pumps,Casadei,560,FW2020,FP,185,https://www.casadei.com/en/shoes/pumps/julia-cyber-red-1F121D1001MINOR3608.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw5799fbb3/images/zoom/1F121D1001MINOR_3608_3.jpg?sw=804&sh=1200&sm=fit
1F121D1001MINOR4207,Julia,Optimistic Pink,shoes-pumps,Casadei,560,SS2022,FP,190,https://www.casadei.com/en/shoes/pumps/julia-optimistic-pink-1F121D1001MINOR4207.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwd81a2eb1/images/zoom/1F121D1001MINOR_4207_3.jpg?sw=804&sh=1200&sm=fit
1F121D1001MINOR9000,Julia,Black,shoes-pumps,Casadei,560,FW2020,FP,185,https://www.casadei.com/en/shoes/pumps/julia-black-1F121D1001MINOR9000.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw1834011f/images/zoom/1F121D1001MINOR_9000_3.jpg?sw=804&sh=1200&sm=fit
1F121D1001MINOR9999,Julia,White,shoes-pumps,Casadei,560,FW2020,FP,185,https://www.casadei.com/en/shoes/pumps/julia-white-1F121D1001MINOR9999.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw33b1125a/images/zoom/1F121D1001MINOR_9999_3.jpg?sw=804&sh=1200&sm=fit
1F121D1001TIFFA3401,Julia,Sandstone,shoes-pumps,Casadei,560,FW2021,FP,190,https://www.casadei.com/en/shoes/pumps/julia-sandstone-1F121D1001TIFFA3401.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw1f5af17e/images/zoom/1F121D1001TIFFA_3401_3.jpg?sw=804&sh=1200&sm=fit
1F121D1001TIFFA3711,Julia,Red Square,shoes-pumps,Casadei,560,FW2021,FP,190,https://www.casadei.com/en/shoes/pumps/julia-red-square-1F121D1001TIFFA3711.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw1ad75db0/images/zoom/1F121D1001TIFFA_3711_3.jpg?sw=804&sh=1200&sm=fit
1F121D1001TIFFA9000,Julia,Black,shoes-pumps,Casadei,560,FW2021,FP,190,https://www.casadei.com/en/shoes/pumps/julia-black-1F121D1001TIFFA9000.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwa7dddd8e/images/zoom/1F121D1001TIFFA_9000_3.jpg?sw=804&sh=1200&sm=fit
1F156E1401CAMOS9000,Flora,Black,shoes-platforms,Casadei,760,FW2019,FP,237,https://www.casadei.com/en/shoes/platforms/flora-black-1F156E1401CAMOS9000.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw05f66f35/images/zoom/1F156E1401CAMOS_9000_3.jpg?sw=804&sh=1200&sm=fit
1F206G125HC1251A026,Blade Penny,Black and White,shoes-pumps,Casadei,675,SS2021,FP,229,https://www.casadei.com/en/shoes/pumps/blade-penny-black-and-white-1F206G125HC1251A026.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw57a35ffc/images/zoom/1F206G125HC1251_A026_3.jpg?sw=804&sh=1200&sm=fit
1F215G120MC05779000,Techno Blade,Black,shoes-pumps,Casadei,710,FW2019,FP,240,https://www.casadei.com/en/shoes/pumps/techno-blade-black-1F215G120MC05779000.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw7aa4f255/images/zoom/1F215G120MC0577_9000_3.jpg?sw=804&sh=1200&sm=fit
1F324K1401LACRO2801,Flora Lacroc,Dafne,shoes-platforms,Casadei,740,FW2021,FP,250,https://www.casadei.com/en/shoes/platforms/flora-lacroc-dafne-1F324K1401LACRO2801.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw02710187/images/zoom/1F324K1401LACRO_2801_3.jpg?sw=804&sh=1200&sm=fit
1F324K1401TIFFA9000,Flora,Black,shoes-platforms,Casadei,715,FW2019,FP,235,https://www.casadei.com/en/shoes/platforms/flora-black-1F324K1401TIFFA9000.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwaca3737e/images/zoom/1F324K1401TIFFA_9000_3.jpg?sw=804&sh=1200&sm=fit
1F410D125HHCMSC2608,Blade,Sella,shoes-pumps,Casadei,650,FW2021,FP,221,https://www.casadei.com/en/shoes/pumps/blade-sella-1F410D125HHCMSC2608.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwd4b6a61e/images/zoom/1F410D125HHCMSC_2608_3.jpg?sw=804&sh=1200&sm=fit
1F410D125HHCMSC2704,Blade,Camel,shoes-pumps,Casadei,650,FW2021,FP,221,https://www.casadei.com/en/shoes/pumps/blade-camel-1F410D125HHCMSC2704.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwe73e2a02/images/zoom/1F410D125HHCMSC_2704_3.jpg?sw=804&sh=1200&sm=fit
1F410D125HHCMSC3114,Blade,Chic,shoes-pumps,Casadei,650,FW2021,FP,221,https://www.casadei.com/en/shoes/pumps/blade-chic-1F410D125HHCMSC3114.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw950e157f/images/zoom/1F410D125HHCMSC_3114_3.jpg?sw=804&sh=1200&sm=fit
1F410D125HHCMSC3608,Blade,Cyber Red,shoes-pumps,Casadei,650,FW2020,FP,221,https://www.casadei.com/en/shoes/pumps/blade--cyber-red-058053487065514.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw757b072a/images/zoom/1F410D125HHCMSC_3608_3.jpg?sw=804&sh=1200&sm=fit
1F410D125HHMINO9000,Blade,Black,shoes-pumps,Casadei,650,FW2019,FP,215,https://www.casadei.com/en/shoes/pumps/blade-black-1F410D125HHMINO9000.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw6c6990df/images/zoom/1F410D125HHMINO_9000_3.jpg?sw=804&sh=1200&sm=fit
1F410D125HHMINO9999,Blade,White,shoes-pumps,Casadei,650,FW2019,FP,215,https://www.casadei.com/en/shoes/pumps/blade-white-1F410D125HHMINO9999.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw600e73d7/images/zoom/1F410D125HHMINO_9999_3.jpg?sw=804&sh=1200&sm=fit
1F410D125MAMIFN9000,Blade,Black,shoes-pumps,Casadei,650,FW2019,FP,215,https://www.casadei.com/en/shoes/pumps/blade-black-1F410D125MAMIFN9000.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw62ed745c/images/zoom/1F410D125MAMIFN_9000_3.jpg?sw=804&sh=1200&sm=fit
1F410D125MC13132615,Blade,Rum,shoes-pumps,Casadei,650,SS2022,FP,221,https://www.casadei.com/en/shoes/pumps/blade-rum-1F410D125MC13132615.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw5f1b4132/images/zoom/1F410D125MC1313_2615_3.jpg?sw=804&sh=1200&sm=fit
1F410D125MC13133302,Blade,Blush pink,shoes-pumps,Casadei,650,SS2022,FP,221,https://www.casadei.com/en/shoes/pumps/blade-blush-pink-1F410D125MC13133302.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw9f2e9707/images/zoom/1F410D125MC1313_3302_3.jpg?sw=804&sh=1200&sm=fit
1F410D125MC13133310,Blade,Naked,shoes-pumps,Casadei,650,SS2022,FP,221,https://www.casadei.com/en/shoes/pumps/blade-naked-1F410D125MC13133310.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw7e873cb6/images/zoom/1F410D125MC1313_3310_3.jpg?sw=804&sh=1200&sm=fit
1F410D125MC13133401,Blade,Sandstone,shoes-pumps,Casadei,650,SS2022,FP,221,https://www.casadei.com/en/shoes/pumps/blade-sandstone-1F410D125MC13133401.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw5422618f/images/zoom/1F410D125MC1313_3401_3.jpg?sw=804&sh=1200&sm=fit
1F410D125MC13139505,Blade,Stonegrey,shoes-pumps,Casadei,650,SS2022,FP,221,https://www.casadei.com/en/shoes/pumps/blade-stonegrey-1F410D125MC13139505.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwda55238b/images/zoom/1F410D125MC1313_9505_3.jpg?sw=804&sh=1200&sm=fit
1F410D125MC14502207,Blade Lacroc,Orangina,shoes-pumps,Casadei,650,SS2022,FP,221,https://www.casadei.com/en/shoes/pumps/blade-lacroc-orangina-1F410D125MC14502207.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw123a0bb7/images/zoom/1F410D125MC1450_2207_3.jpg?sw=804&sh=1200&sm=fit
1F410D125MC14502801,Blade Lacroc,Dafne,shoes-pumps,Casadei,650,FW2021,FP,221,https://www.casadei.com/en/shoes/pumps/blade-lacroc-dafne-1F410D125MC14502801.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwbed3e5bb/images/zoom/1F410D125MC1450_2801_3.jpg?sw=804&sh=1200&sm=fit
1F410D125MC14503711,Blade Lacroc,Red Square,shoes-pumps,Casadei,650,FW2021,FP,221,https://www.casadei.com/en/shoes/pumps/blade-lacroc-red-square-1F410D125MC14503711.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwcd762bcf/images/zoom/1F410D125MC1450_3711_3.jpg?sw=804&sh=1200&sm=fit
1F410D125MC14504207,Blade Lacroc,Optimistic Pink,shoes-pumps,Casadei,650,SS2022,FP,221,https://www.casadei.com/en/shoes/pumps/blade-lacroc-optimistic-pink-1F410D125MC14504207.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw5e3d9261/images/zoom/1F410D125MC1450_4207_3.jpg?sw=804&sh=1200&sm=fit
1F410D125MC14506200,Blade Lacroc,Nilegreen,shoes-pumps,Casadei,650,SS2022,FP,221,https://www.casadei.com/en/shoes/pumps/blade-lacroc-nilegreen-1F410D125MC14506200.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw202820b0/images/zoom/1F410D125MC1450_6200_3.jpg?sw=804&sh=1200&sm=fit
1F410D125MC14509996,Blade Lacroc,Porcelain,shoes-pumps,Casadei,650,SS2022,FP,221,https://www.casadei.com/en/shoes/pumps/blade-lacroc-porcelain-1F410D125MC14509996.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw3b7d8d01/images/zoom/1F410D125MC1450_9996_3.jpg?sw=804&sh=1200&sm=fit
1F410D125MC1665ZZZZ,Blade Pink Panther,Pink Panther,shoes-pumps,Casadei,710,SS2022,FP,240,https://www.casadei.com/en/shoes/pumps/blade-pink-panther-pink-panther-1F410D125MC1665ZZZZ.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw97eb6193/images/zoom/1F410D125MC1665_ZZZZ_3.jpg?sw=804&sh=1200&sm=fit
1F410D125MCITYL3306,City Light Blade,Pink gold,shoes-pumps,Casadei,650,SS2020,FP,215,https://www.casadei.com/en/shoes/pumps/city-light-blade-pink-gold-1F410D125MCITYL3306.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw1ea9bd92/images/zoom/1F410D125MCITYL_3306_3.jpg?sw=804&sh=1200&sm=fit
1F410D125MSCAMO9000,Blade,Black,shoes-pumps,Casadei,650,FW2019,FP,215,https://www.casadei.com/en/shoes/pumps/blade-black-1F410D125MSCAMO9000.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw63c04224/images/zoom/1F410D125MSCAMO_9000_3.jpg?sw=804&sh=1200&sm=fit
1F410D125MSELEN9700,Blade,Silver,shoes-pumps,Casadei,650,SS2020,FP,221,https://www.casadei.com/en/shoes/pumps/blade-silver-1F410D125MSELEN9700.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw8ff1e5ef/images/zoom/1F410D125MSELEN_9700_3.jpg?sw=804&sh=1200&sm=fit
1F410D125MSMINO2814,Blade,Canyon,shoes-pumps,Casadei,650,SS2021,FP,221,https://www.casadei.com/en/shoes/pumps/blade-canyon-1F410D125MSMINO2814.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw76cc8748/images/zoom/1F410D125MSMINO_2814_3.jpg?sw=804&sh=1200&sm=fit
1F410D125MSMINO3113,Blade,Toffee,shoes-pumps,Casadei,650,SS2021,FP,221,https://www.casadei.com/en/shoes/pumps/blade-toffee-1F410D125MSMINO3113.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwd5eccdb1/images/zoom/1F410D125MSMINO_3113_3.jpg?sw=804&sh=1200&sm=fit
1F410D125MSMINO3216,Blade,Skin,shoes-pumps,Casadei,650,FW2019,FP,215,https://www.casadei.com/en/shoes/pumps/blade-skin-1F410D125MSMINO3216.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwa01daf8b/images/zoom/1F410D125MSMINO_3216_3.jpg?sw=804&sh=1200&sm=fit
1F410D125MSMINO3302,Blade,Blush Pink,shoes-pumps,Casadei,650,SS2021,FP,221,https://www.casadei.com/en/shoes/pumps/blade-blush-pink-1F410D125MSMINO3302.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw3c3f8060/images/zoom/1F410D125MSMINO_3302_3.jpg?sw=804&sh=1200&sm=fit
1F410D125MSMINO3608,Blade,Cyber Red,shoes-pumps,Casadei,650,SS2021,FP,221,https://www.casadei.com/en/shoes/pumps/blade-cyber-red-1F410D125MSMINO3608.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw00ca8d63/images/zoom/1F410D125MSMINO_3608_3.jpg?sw=804&sh=1200&sm=fit
1F436K1401CAMOS3114,Flora,Chic,shoes-platforms,Casadei,760,FW2020,FP,258,https://www.casadei.com/en/shoes/platforms/flora-chic-1F436K1401CAMOS3114.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwd0a072b4/images/zoom/1F436K1401CAMOS_3114_3.jpg?sw=804&sh=1200&sm=fit
1F458L1201CAMOS9000,Linda,Black,shoes-platforms,Casadei,695,SS2020,FP,229,https://www.casadei.com/en/shoes/platforms/linda-black-1F458L1201CAMOS9000.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw8134186c/images/zoom/1F458L1201CAMOS_9000_3.jpg?sw=804&sh=1200&sm=fit
1F488L060MC14512801,K Blade Lacroc,Dafne,shoes-pumps,Casadei,595,SS2022,FP,202,https://www.casadei.com/en/shoes/pumps/k-blade-lacroc-dafne-1F488L060MC14512801.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwc54ee0a7/images/zoom/1F488L060MC1451_2801_3.jpg?sw=804&sh=1200&sm=fit
1F756S120MZDNMM4207,Blade Denim,Optimistic Pink,shoes-pumps,Casadei,850,SS2022,FP,288,https://www.casadei.com/en/shoes/pumps/blade-denim-optimistic-pink-1F756S120MZDNMM4207.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwebd79db2/images/zoom/1F756S120MZDNMM_4207_3.jpg?sw=804&sh=1200&sm=fit
1F756S120MZDNMM9000,Blade Denim,Black,shoes-pumps,Casadei,850,SS2022,FP,288,https://www.casadei.com/en/shoes/pumps/blade-denim-black-1F756S120MZDNMM9000.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwbba3ffaa/images/zoom/1F756S120MZDNMM_9000_3.jpg?sw=804&sh=1200&sm=fit
1F799T120HC15759000,Blade,Black,shoes-pumps,Casadei,740,FW2021,FP,250,https://www.casadei.com/en/shoes/pumps/blade-nero-1F799T120HC15759000.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw7caeadb3/images/zoom/1F799T120HC1575_9000_3.jpg?sw=804&sh=1200&sm=fit
1F813T160GCAMOS9000,Rock - Mary Jane,Black,shoes-platforms,Casadei,1015,FW2021,FP,344,https://www.casadei.com/en/shoes/platforms/rock---mary-jane-black-1F813T160GCAMOS9000.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw423399da/images/zoom/1F813T160GCAMOS_9000_3.jpg?sw=804&sh=1200&sm=fit
1F817U120TTIFFAA716,Blade Penny,Off White,shoes-pumps,Casadei,710,SS2022,FP,240,https://www.casadei.com/en/shoes/pumps/blade-penny-off-white-1F817U120TTIFFAA716.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw30ce7bba/images/zoom/1F817U120TTIFFA_A716_3.jpg?sw=804&sh=1200&sm=fit
1F820U120MC1667A928,Blade Penny Stargate,Goldust and Golden,shoes-pumps,Casadei,765,SS2022,FP,260,https://www.casadei.com/en/shoes/pumps/blade-penny-stargate-goldust-and-golden-1F820U120MC1667A928.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw7da354a9/images/zoom/1F820U120MC1667_A928_3.jpg?sw=804&sh=1200&sm=fit
1F826U1601TIFFA3302,Rock,Blush pink,shoes-platforms,Casadei,1015,SS2022,FP,344,https://www.casadei.com/en/shoes/platforms/rock-blush-pink-1F826U1601TIFFA3302.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw92985dc1/images/zoom/1F826U1601TIFFA_3302_3.jpg?sw=804&sh=1200&sm=fit
1F826U1601TIFFA9505,Rock,Stonegrey,shoes-platforms,Casadei,1015,SS2022,FP,344,https://www.casadei.com/en/shoes/platforms/rock-stonegrey-1F826U1601TIFFA9505.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw667bea02/images/zoom/1F826U1601TIFFA_9505_3.jpg?sw=804&sh=1200&sm=fit
1F832U060GC1691A494,Valentina,Blush Pink,shoes-pumps,Casadei,695,SS2022,FP,236,https://www.casadei.com/en/shoes/pumps/valentina-blush-pink-1F832U060GC1691A494.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw33be854c/images/zoom/1F832U060GC1691_A494_3.jpg?sw=804&sh=1200&sm=fit
1F832U100GC1691A940,Valentina,Canyon,shoes-pumps,Casadei,715,SS2022,FP,242,https://www.casadei.com/en/shoes/pumps/valentina-canyon-1F832U100GC1691A940.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwe9ef824b/images/zoom/1F832U100GC1691_A940_3.jpg?sw=804&sh=1200&sm=fit
1F833U060GC16902618,Valentina,Etruria,shoes-pumps,Casadei,710,SS2022,FP,240,https://www.casadei.com/en/shoes/pumps/valentina-etruria-1F833U060GC16902618.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw7706f826/images/zoom/1F833U060GC1690_2618_3.jpg?sw=804&sh=1200&sm=fit
1F833U060GC16903301,Valentina,Spiaggia Rosa,shoes-pumps,Casadei,710,SS2022,FP,240,https://www.casadei.com/en/shoes/pumps/valentina-spiaggia-rosa-1F833U060GC16903301.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw1829e031/images/zoom/1F833U060GC1690_3301_3.jpg?sw=804&sh=1200&sm=fit
1F833U060GC16906200,Valentina,Nilegreen,shoes-pumps,Casadei,710,SS2022,FP,240,https://www.casadei.com/en/shoes/pumps/valentina-nilegreen-1F833U060GC16906200.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwb697d7ab/images/zoom/1F833U060GC1690_6200_3.jpg?sw=804&sh=1200&sm=fit
1G561U1601TIFFA3711,Rock,Red Square,shoes-platforms,Casadei,1015,SS2022,FP,344,https://www.casadei.com/en/shoes/platforms/rock-red-square-1G561U1601TIFFA3711.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwd21282ba/images/zoom/1G561U1601TIFFA_3711_3.jpg?sw=804&sh=1200&sm=fit
